,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUILD_UP_INDEX,fireweather_index,Classes
0,31.06,63.9,12.01,0.83,89.68,13.58,66.92,4.02,18.018709229701596,276.0368333623683,1
1,26.12,33.77,0.4,0.1,90.54,168.05,797.39,2.96,220.1227738467288,3900.7234411286063,1
2,21.63,47.55,14.28,0.0,89.41,7.63,100.98,14.29,12.83540710507684,657.4639538603127,1
3,19.6,45.0,3.1,0.0,91.9,111.7,770.3,6.5,163.9607641370111,6049.978771493381,1
4,21.74,95.44,20.94,0.0,82.1,31.8,6.9,1.8,5.079166666666667,27.72239135463156,0
5,33.25,80.91,11.99,1.89,82.1,0.7,6.9,1.86,1.1167630057803468,4.7919719265346,0
6,26.24,15.0,8.21,0.0,89.74,69.7,860.6,13.75,115.92756438131131,8499.984320592368,1
7,34.0,64.0,14.0,0.0,88.9,40.5,171.3,9.0,50.90919097413318,2106.034976257929,1
8,30.48,47.64,0.4,0.39,89.79,135.09,722.77,9.05,184.13853775831097,9660.305930118704,1
9,17.85,61.44,6.31,0.14,88.66,17.3,7.9,13.16,5.343890518084067,215.20951538363178,1
10,25.48,15.0,10.18,0.2,93.87,83.62,385.21,15.12,108.40797024871269,8635.453485768916,1
11,37.58,57.7,9.7,1.95,69.2,27.39,6.9,2.6,5.014686567164179,39.44404436112507,0
12,26.09,79.99,6.75,1.05,87.82,13.34,491.41,13.09,24.984409634880706,1322.039262720502,1
13,34.58,67.42,13.2,4.07,70.72,0.7,84.31,0.46,1.3715314896583775,1.5104655060776213,0
14,28.74,51.81,14.76,0.0,48.51,0.7,286.67,0.75,1.3915054434505232,2.5051089969334464,0
15,10.16,23.94,2.34,0.38,90.25,90.77,240.64,15.68,93.43254007464202,7513.875910941086,1
16,24.7,66.47,0.4,0.0,91.07,56.4,489.86,12.71,87.58870113812891,5643.531644569238,1
17,27.06,65.33,19.33,2.64,76.21,0.7,210.45,1.4,1.3884542884071625,4.664101788153756,0
18,33.24,39.22,10.71,0.55,87.91,46.94,563.89,9.46,77.70828665374906,3646.9878087554403,1
19,19.76,43.5,3.93,0.05,96.2,54.62,224.48,17.03,67.92287399939062,5600.892747632138,1
20,15.9,53.0,2.2,0.0,91.9,111.7,770.3,6.5,163.9607641370111,6049.978771493381,1
21,22.77,48.28,13.73,1.65,64.21,14.43,6.9,1.12,4.6337172774869115,15.478141548810465,0
22,19.6,33.0,5.4,0.0,92.4,117.9,668.0,12.2,163.60882887561672,11326.577568773484,1
23,26.83,77.82,13.66,0.37,56.82,29.96,6.9,1.16,5.054376528117361,17.762651911919487,0
24,22.8,63.0,12.05,0.23,94.85,50.6,555.35,2.01,82.42490283786756,830.7092119083004,1
25,27.63,30.4,18.27,0.88,89.99,3.0,513.95,3.64,5.913702176622879,67.08884624873359,1
26,8.71,36.6,9.71,0.0,91.15,112.95,344.12,7.18,124.08192882624763,4809.387761552484,1
27,21.33,79.05,19.46,2.31,79.53,0.7,81.54,2.35,1.3705847040461034,7.7102207699811185,0
28,34.93,86.22,22.14,2.04,82.1,17.51,140.17,2.26,26.685984397510126,246.7127311921711,0
29,23.42,65.8,24.6,3.56,81.4,24.17,6.9,0.44,4.954266617155589,6.580308063318125,0
30,38.51,50.07,7.88,0.74,84.99,36.66,340.98,3.74,57.78760973580195,1016.4044618444602,1
31,26.11,36.29,1.95,0.0,94.24,11.44,300.65,11.86,20.892549734244493,969.8230164769894,1
32,29.54,47.48,14.31,0.0,81.11,26.89,6.9,2.08,5.006165261382799,31.49194684590096,0
33,26.35,25.36,4.29,0.61,87.65,123.4,329.03,12.67,127.37377692030181,8753.178444000556,1
34,20.65,68.07,0.4,0.4,88.12,93.24,860.6,6.26,146.73556551156625,5111.052333030907,1
35,29.0,73.0,17.0,0.1,68.4,1.9,15.7,1.4,2.917359413202934,11.205304256006606,0
36,28.78,64.63,17.34,1.26,63.43,28.56,6.9,1.49,5.033563218390804,22.704952009419166,0
37,17.17,26.14,8.13,0.23,90.05,101.75,155.86,10.87,77.31546552585714,4165.570910665364,1
38,18.75,56.98,12.74,0.75,54.93,0.7,58.88,2.23,1.3595909615701796,7.247278543386324,0
39,4.6,21.0,8.5,0.0,85.4,25.4,349.7,2.6,42.99312681510165,498.3707374732533,1
40,30.46,47.65,16.83,0.63,89.25,66.19,517.45,6.96,100.30388549255044,3626.6790393733636,1
41,21.57,78.4,18.13,1.94,82.1,11.3,123.87,2.59,18.402984485932162,182.33051324775758,1
42,7.83,35.95,6.43,0.0,89.78,170.83,129.8,1.9,79.63630617283951,753.9829731803567,1
43,27.39,74.85,22.97,0.72,51.83,4.02,6.9,1.73,3.2729203539823013,15.859934338499686,0
44,27.79,58.09,6.25,0.0,90.59,100.22,860.6,9.98,155.2433640822571,8708.872213538578,1
45,18.0,57.18,12.38,0.21,86.54,3.0,248.62,13.86,5.824301108855225,250.90109192545845,1
46,27.18,84.22,11.4,0.0,69.27,13.33,272.28,3.0,23.752833886880122,285.43689247788166,0
47,19.09,24.14,11.86,0.0,91.53,67.01,860.6,6.96,112.18247975683893,4138.93916414425,1
48,31.72,29.14,5.44,0.01,88.15,75.42,550.71,12.06,112.36790357925494,7185.778099790163,1
49,26.05,71.74,17.58,0.11,58.64,9.63,140.62,1.66,16.44458666019005,102.325334083164,0
50,37.98,80.02,22.97,4.91,56.57,0.7,104.2,1.03,1.3768758848513445,3.3976923149651244,0
51,20.94,62.75,21.65,5.21,51.45,15.78,6.9,0.16,4.698252427184467,2.2475620919894963,0
52,15.8,27.0,7.6,0.0,88.1,25.7,67.6,3.8,26.352976867652636,408.7228476050649,1
53,33.46,56.37,19.04,2.5,57.49,5.24,195.95,0.01,9.823276728055491,0.3355236263488886,0
54,25.8,60.98,12.4,3.01,82.1,10.18,78.27,2.15,15.364222907828768,122.31361148051757,1
55,17.24,26.57,13.7,0.07,88.2,130.61,860.6,5.3,189.37005959776772,5847.6400107724,1
56,28.65,65.9,13.62,3.29,74.57,0.7,6.9,2.18,1.1167630057803468,5.616397204217972,0
57,34.01,69.01,13.22,4.78,53.51,5.34,6.9,1.61,3.6391111111111116,16.72838148094316,0
58,30.94,36.95,6.96,0.0,92.35,97.98,25.48,17.36,18.46341308286803,1226.845831557305,1
59,22.33,77.15,11.98,1.14,59.59,17.75,6.9,1.69,4.777181862506095,24.211388610178187,0
60,20.03,37.34,4.75,0.51,87.3,170.39,467.01,14.18,178.21986685106694,14563.615437423821,1
61,36.79,56.53,15.21,4.18,73.34,0.7,224.59,0.55,1.3891755765662275,1.8334494244786614,0
62,39.0,76.83,14.5,2.66,77.37,1.96,87.18,0.5,3.7113987836663767,5.317188692374383,0
63,23.59,56.42,11.51,0.19,91.85,103.2,258.51,6.38,103.30189928558983,3442.068822082084,1
64,33.25,54.69,15.06,0.95,78.6,25.03,151.32,1.57,35.41494284578882,239.36887715274273,0
65,33.0,26.0,13.0,0.0,93.9,21.2,59.2,14.2,22.371479500891265,1258.810186452988,1
66,15.21,50.9,7.93,0.0,91.7,61.55,114.96,10.61,52.64037792698124,2582.7497762754742,1
67,7.33,20.32,5.75,1.08,88.54,31.52,820.85,13.49,57.51835046962708,3645.965315031246,1
68,16.89,66.45,16.75,0.0,56.06,0.7,122.63,1.04,1.380302299405049,3.44076010240221,0
69,23.59,49.51,0.4,0.42,92.96,3.0,554.6,10.29,5.919943070628003,189.8913010969742,1
70,33.33,69.43,13.3,1.93,54.1,23.98,6.9,0.13,4.950246821241586,1.942319890576625,0
71,35.21,15.46,16.38,0.22,86.14,91.39,524.91,1.9,127.34929657479245,1312.33353271202,1
72,18.82,72.85,19.51,0.0,53.61,17.51,189.94,0.83,28.460726953768482,97.7621388309089,0
73,4.62,70.95,11.99,0.24,87.15,51.52,22.43,10.36,15.282597368247043,585.6863865490167,1
74,13.04,62.24,15.56,0.68,89.25,154.74,615.64,5.59,190.0550301748646,6193.948956736829,1
75,34.04,80.34,11.57,0.0,56.84,15.83,144.03,1.91,24.835869393535035,191.54947059385213,0
76,32.77,77.57,16.19,0.0,66.38,24.84,301.43,1.32,41.19341567408467,240.56373322790805,0
77,24.36,60.41,15.38,0.0,94.43,88.71,263.76,5.15,96.38089777256016,2560.077916952346,1
78,32.74,61.7,11.72,0.28,57.86,0.7,66.68,2.37,1.3641969896244335,7.73307721626199,0
79,26.36,54.78,18.71,2.45,74.31,13.09,119.07,2.02,20.535937283836756,161.85749632731117,0
80,24.16,48.79,8.57,0.37,86.43,175.47,7.9,9.7,6.208197951072049,189.3372265563345,1
81,16.52,46.49,2.96,0.0,91.56,118.34,860.6,3.05,176.13109775606384,3089.218786923194,1
82,38.29,78.27,14.13,6.06,55.38,3.96,225.17,2.66,7.586448291998129,65.78604606559912,0
83,23.27,32.7,1.51,0.0,93.33,83.91,739.86,6.2,130.7484509311472,4417.606291840959,1
84,17.92,50.35,12.47,0.47,89.96,28.51,303.58,9.59,46.178206506515856,2000.034866782168,1
